136  52904 |Loss: 0.083 | Acc: 97.387% 
136  52905 |Loss: 0.083 | Acc: 97.376% 
136  52906 |Loss: 0.084 | Acc: 97.366% 
136  52907 |Loss: 0.084 | Acc: 97.355% 
136  52908 |Loss: 0.084 | Acc: 97.339% 
136  52909 |Loss: 0.084 | Acc: 97.348% 
136  52910 |Loss: 0.083 | Acc: 97.363% 
136  52911 |Loss: 0.083 | Acc: 97.365% 
136  52912 |Loss: 0.083 | Acc: 97.349% 
136  52913 |Loss: 0.084 | Acc: 97.333% 
136  52914 |Loss: 0.084 | Acc: 97.329% 
136  52915 |Loss: 0.084 | Acc: 97.332% 
136  52916 |Loss: 0.084 | Acc: 97.334% 
136  52917 |Loss: 0.084 | Acc: 97.343% 
136  52918 |Loss: 0.084 | Acc: 97.333% 
136  52919 |Loss: 0.084 | Acc: 97.330% 
136  52920 |Loss: 0.084 | Acc: 97.338% 
136  52921 |Loss: 0.083 | Acc: 97.346% 
136  52922 |Loss: 0.083 | Acc: 97.354% 
136  52923 |Loss: 0.083 | Acc: 97.351% 
136  52924 |Loss: 0.083 | Acc: 97.353% 
136  52925 |Loss: 0.083 | Acc: 97.344% 
136  52926 |Loss: 0.083 | Acc: 97.352% 
136  52927 |Loss: 0.083 | Acc: 97.354% 
136  52928 |Loss: 0.083 | Acc: 97.339% 
136  52929 |Loss: 0.084 | Acc: 97.331% 
136  52930 |Loss: 0.084 | Acc: 97.328% 
136  52931 |Loss: 0.083 | Acc: 97.341% 
136  52932 |Loss: 0.083 | Acc: 97.348% 
136  52933 |Loss: 0.083 | Acc: 97.350% 
136  52934 |Loss: 0.083 | Acc: 97.342% 
136  52935 |Loss: 0.084 | Acc: 97.328% 
136  52936 |Loss: 0.084 | Acc: 97.330% 
136  52937 |Loss: 0.084 | Acc: 97.327% 
136  52938 |Loss: 0.083 | Acc: 97.335% 
136  52939 |Loss: 0.083 | Acc: 97.347% 
136  52940 |Loss: 0.083 | Acc: 97.344% 
136  52941 |Loss: 0.083 | Acc: 97.321% 
136  52942 |Loss: 0.083 | Acc: 97.323% 
136  52943 |Loss: 0.083 | Acc: 97.325% 
136  52944 |Loss: 0.084 | Acc: 97.307% 
136  52945 |Loss: 0.084 | Acc: 97.314% 
136  52946 |Loss: 0.084 | Acc: 97.321% 
136  52947 |Loss: 0.083 | Acc: 97.338% 
136  52948 |Loss: 0.084 | Acc: 97.326% 
136  52949 |Loss: 0.084 | Acc: 97.328% 
136  52950 |Loss: 0.084 | Acc: 97.334% 
136  52951 |Loss: 0.084 | Acc: 97.336% 
136  52952 |Loss: 0.084 | Acc: 97.333% 
136  52953 |Loss: 0.084 | Acc: 97.349% 
136  52954 |Loss: 0.084 | Acc: 97.347% 
136  52955 |Loss: 0.084 | Acc: 97.339% 
136  52956 |Loss: 0.084 | Acc: 97.341% 
136  52957 |Loss: 0.084 | Acc: 97.352% 
136  52958 |Loss: 0.084 | Acc: 97.354% 
136  52959 |Loss: 0.084 | Acc: 97.351% 
136  52960 |Loss: 0.084 | Acc: 97.353% 
136  52961 |Loss: 0.084 | Acc: 97.363% 
136  52962 |Loss: 0.084 | Acc: 97.347% 
136  52963 |Loss: 0.084 | Acc: 97.345% 
136  52964 |Loss: 0.085 | Acc: 97.338% 
136  52965 |Loss: 0.085 | Acc: 97.305% 
136  52966 |Loss: 0.085 | Acc: 97.315% 
136  52967 |Loss: 0.085 | Acc: 97.326% 
136  52968 |Loss: 0.085 | Acc: 97.328% 
136  52969 |Loss: 0.085 | Acc: 97.325% 
136  52970 |Loss: 0.085 | Acc: 97.310% 
136  52971 |Loss: 0.085 | Acc: 97.308% 
136  52972 |Loss: 0.086 | Acc: 97.309% 
136  52973 |Loss: 0.086 | Acc: 97.307% 
136  52974 |Loss: 0.086 | Acc: 97.301% 
136  52975 |Loss: 0.086 | Acc: 97.303% 
136  52976 |Loss: 0.086 | Acc: 97.296% 
136  52977 |Loss: 0.086 | Acc: 97.302% 
136  52978 |Loss: 0.086 | Acc: 97.300% 
136  52979 |Loss: 0.085 | Acc: 97.310% 
136  52980 |Loss: 0.085 | Acc: 97.304% 
136  52981 |Loss: 0.086 | Acc: 97.309% 
136  52982 |Loss: 0.086 | Acc: 97.311% 
136  52983 |Loss: 0.086 | Acc: 97.321% 
136  52984 |Loss: 0.085 | Acc: 97.334% 
136  52985 |Loss: 0.086 | Acc: 97.328% 
136  52986 |Loss: 0.086 | Acc: 97.330% 
136  52987 |Loss: 0.086 | Acc: 97.335% 
136  52988 |Loss: 0.086 | Acc: 97.345% 
136  52989 |Loss: 0.086 | Acc: 97.342% 
136  52990 |Loss: 0.086 | Acc: 97.348% 
136  52991 |Loss: 0.086 | Acc: 97.334% 
136  52992 |Loss: 0.086 | Acc: 97.335% 
136  52993 |Loss: 0.086 | Acc: 97.341% 
136  52994 |Loss: 0.086 | Acc: 97.327% 
136  52995 |Loss: 0.087 | Acc: 97.310% 
136  52996 |Loss: 0.087 | Acc: 97.305% 
136  52997 |Loss: 0.087 | Acc: 97.310% 
136  52998 |Loss: 0.087 | Acc: 97.308% 
136  52999 |Loss: 0.087 | Acc: 97.306% 
136  53000 |Loss: 0.087 | Acc: 97.311% 
136  53001 |Loss: 0.087 | Acc: 97.313% 
136  53002 |Loss: 0.087 | Acc: 97.311% 
136  53003 |Loss: 0.087 | Acc: 97.316% 
136  53004 |Loss: 0.087 | Acc: 97.314% 
136  53005 |Loss: 0.087 | Acc: 97.308% 
136  53006 |Loss: 0.087 | Acc: 97.306% 
136  53007 |Loss: 0.087 | Acc: 97.311% 
136  53008 |Loss: 0.087 | Acc: 97.320% 
136  53009 |Loss: 0.087 | Acc: 97.332% 
136  53010 |Loss: 0.087 | Acc: 97.330% 
136  53011 |Loss: 0.086 | Acc: 97.338% 
136  53012 |Loss: 0.086 | Acc: 97.343% 
136  53013 |Loss: 0.086 | Acc: 97.351% 
136  53014 |Loss: 0.086 | Acc: 97.353% 
136  53015 |Loss: 0.087 | Acc: 97.327% 
136  53016 |Loss: 0.087 | Acc: 97.321% 
136  53017 |Loss: 0.087 | Acc: 97.323% 
136  53018 |Loss: 0.088 | Acc: 97.314% 
136  53019 |Loss: 0.088 | Acc: 97.316% 
136  53020 |Loss: 0.087 | Acc: 97.314% 
136  53021 |Loss: 0.088 | Acc: 97.305% 
136  53022 |Loss: 0.088 | Acc: 97.304% 
136  53023 |Loss: 0.088 | Acc: 97.312% 
136  53024 |Loss: 0.087 | Acc: 97.316% 
136  53025 |Loss: 0.087 | Acc: 97.314% 
136  53026 |Loss: 0.087 | Acc: 97.319% 
136  53027 |Loss: 0.087 | Acc: 97.314% 
136  53028 |Loss: 0.087 | Acc: 97.303% 
136  53029 |Loss: 0.087 | Acc: 97.310% 
136  53030 |Loss: 0.088 | Acc: 97.299% 
136  53031 |Loss: 0.088 | Acc: 97.294% 
136  53032 |Loss: 0.088 | Acc: 97.293% 
136  53033 |Loss: 0.088 | Acc: 97.294% 
136  53034 |Loss: 0.088 | Acc: 97.295% 
136  53035 |Loss: 0.088 | Acc: 97.303% 
136  53036 |Loss: 0.087 | Acc: 97.308% 
136  53037 |Loss: 0.087 | Acc: 97.312% 
136  53038 |Loss: 0.087 | Acc: 97.313% 
136  53039 |Loss: 0.087 | Acc: 97.321% 
136  53040 |Loss: 0.087 | Acc: 97.331% 
136  53041 |Loss: 0.087 | Acc: 97.330% 
136  53042 |Loss: 0.087 | Acc: 97.337% 
136  53043 |Loss: 0.087 | Acc: 97.341% 
136  53044 |Loss: 0.087 | Acc: 97.324% 
136  53045 |Loss: 0.087 | Acc: 97.320% 
136  53046 |Loss: 0.087 | Acc: 97.318% 
136  53047 |Loss: 0.087 | Acc: 97.307% 
136  53048 |Loss: 0.087 | Acc: 97.315% 
136  53049 |Loss: 0.088 | Acc: 97.319% 
136  53050 |Loss: 0.087 | Acc: 97.323% 
136  53051 |Loss: 0.087 | Acc: 97.330% 
136  53052 |Loss: 0.087 | Acc: 97.334% 
136  53053 |Loss: 0.087 | Acc: 97.330% 
136  53054 |Loss: 0.087 | Acc: 97.337% 
136  53055 |Loss: 0.087 | Acc: 97.341% 
136  53056 |Loss: 0.087 | Acc: 97.342% 
136  53057 |Loss: 0.087 | Acc: 97.340% 
136  53058 |Loss: 0.087 | Acc: 97.333% 
136  53059 |Loss: 0.087 | Acc: 97.334% 
136  53060 |Loss: 0.087 | Acc: 97.338% 
136  53061 |Loss: 0.087 | Acc: 97.334% 
136  53062 |Loss: 0.087 | Acc: 97.332% 
136  53063 |Loss: 0.087 | Acc: 97.330% 
136  53064 |Loss: 0.087 | Acc: 97.329% 
136  53065 |Loss: 0.087 | Acc: 97.327% 
136  53066 |Loss: 0.087 | Acc: 97.323% 
136  53067 |Loss: 0.087 | Acc: 97.329% 
136  53068 |Loss: 0.087 | Acc: 97.330% 
136  53069 |Loss: 0.087 | Acc: 97.321% 
136  53070 |Loss: 0.087 | Acc: 97.327% 
136  53071 |Loss: 0.087 | Acc: 97.331% 
136  53072 |Loss: 0.087 | Acc: 97.332% 
136  53073 |Loss: 0.087 | Acc: 97.336% 
136  53074 |Loss: 0.087 | Acc: 97.332% 
136  53075 |Loss: 0.087 | Acc: 97.317% 
136  53076 |Loss: 0.087 | Acc: 97.326% 
136  53077 |Loss: 0.087 | Acc: 97.333% 
136  53078 |Loss: 0.087 | Acc: 97.328% 
136  53079 |Loss: 0.087 | Acc: 97.329% 
136  53080 |Loss: 0.087 | Acc: 97.336% 
136  53081 |Loss: 0.086 | Acc: 97.342% 
136  53082 |Loss: 0.086 | Acc: 97.348% 
136  53083 |Loss: 0.086 | Acc: 97.352% 
136  53084 |Loss: 0.086 | Acc: 97.345% 
136  53085 |Loss: 0.087 | Acc: 97.339% 
136  53086 |Loss: 0.087 | Acc: 97.332% 
136  53087 |Loss: 0.087 | Acc: 97.338% 
136  53088 |Loss: 0.087 | Acc: 97.337% 
136  53089 |Loss: 0.087 | Acc: 97.340% 
136  53090 |Loss: 0.087 | Acc: 97.334% 
136  53091 |Loss: 0.087 | Acc: 97.329% 
136  53092 |Loss: 0.087 | Acc: 97.328% 
136  53093 |Loss: 0.087 | Acc: 97.329% 
136  53094 |Loss: 0.087 | Acc: 97.328% 
136  53095 |Loss: 0.087 | Acc: 97.331% 
136  53096 |Loss: 0.087 | Acc: 97.337% 
136  53097 |Loss: 0.087 | Acc: 97.338% 
136  53098 |Loss: 0.087 | Acc: 97.344% 
136  53099 |Loss: 0.087 | Acc: 97.335% 
136  53100 |Loss: 0.087 | Acc: 97.339% 
136  53101 |Loss: 0.087 | Acc: 97.335% 
136  53102 |Loss: 0.087 | Acc: 97.338% 
136  53103 |Loss: 0.087 | Acc: 97.339% 
136  53104 |Loss: 0.087 | Acc: 97.343% 
136  53105 |Loss: 0.087 | Acc: 97.346% 
136  53106 |Loss: 0.087 | Acc: 97.342% 
136  53107 |Loss: 0.087 | Acc: 97.331% 
136  53108 |Loss: 0.087 | Acc: 97.335% 
136  53109 |Loss: 0.087 | Acc: 97.338% 
136  53110 |Loss: 0.087 | Acc: 97.341% 
136  53111 |Loss: 0.087 | Acc: 97.345% 
136  53112 |Loss: 0.087 | Acc: 97.350% 
136  53113 |Loss: 0.087 | Acc: 97.349% 
136  53114 |Loss: 0.087 | Acc: 97.352% 
136  53115 |Loss: 0.087 | Acc: 97.356% 
136  53116 |Loss: 0.086 | Acc: 97.361% 
