201  156519 |Loss: 0.004 | Acc: 99.974% 
201  156520 |Loss: 0.004 | Acc: 99.961% 
201  156521 |Loss: 0.004 | Acc: 99.961% 
201  156522 |Loss: 0.004 | Acc: 99.962% 
201  156523 |Loss: 0.004 | Acc: 99.962% 
201  156524 |Loss: 0.004 | Acc: 99.962% 
201  156525 |Loss: 0.004 | Acc: 99.963% 
201  156526 |Loss: 0.004 | Acc: 99.963% 
201  156527 |Loss: 0.004 | Acc: 99.963% 
201  156528 |Loss: 0.004 | Acc: 99.963% 
201  156529 |Loss: 0.004 | Acc: 99.964% 
201  156530 |Loss: 0.004 | Acc: 99.964% 
201  156531 |Loss: 0.004 | Acc: 99.964% 
201  156532 |Loss: 0.004 | Acc: 99.964% 
201  156533 |Loss: 0.004 | Acc: 99.965% 
201  156534 |Loss: 0.004 | Acc: 99.965% 
201  156535 |Loss: 0.004 | Acc: 99.965% 
201  156536 |Loss: 0.004 | Acc: 99.954% 
201  156537 |Loss: 0.004 | Acc: 99.954% 
201  156538 |Loss: 0.004 | Acc: 99.955% 
201  156539 |Loss: 0.004 | Acc: 99.955% 
201  156540 |Loss: 0.004 | Acc: 99.955% 
201  156541 |Loss: 0.004 | Acc: 99.956% 
201  156542 |Loss: 0.004 | Acc: 99.956% 
201  156543 |Loss: 0.004 | Acc: 99.956% 
201  156544 |Loss: 0.004 | Acc: 99.957% 
201  156545 |Loss: 0.004 | Acc: 99.957% 
201  156546 |Loss: 0.004 | Acc: 99.957% 
201  156547 |Loss: 0.004 | Acc: 99.947% 
201  156548 |Loss: 0.004 | Acc: 99.947% 
201  156549 |Loss: 0.004 | Acc: 99.948% 
201  156550 |Loss: 0.004 | Acc: 99.948% 
201  156551 |Loss: 0.004 | Acc: 99.948% 
201  156552 |Loss: 0.004 | Acc: 99.949% 
201  156553 |Loss: 0.004 | Acc: 99.949% 
201  156554 |Loss: 0.004 | Acc: 99.949% 
201  156555 |Loss: 0.004 | Acc: 99.950% 
201  156556 |Loss: 0.004 | Acc: 99.950% 
201  156557 |Loss: 0.004 | Acc: 99.950% 
201  156558 |Loss: 0.004 | Acc: 99.951% 
201  156559 |Loss: 0.004 | Acc: 99.951% 
201  156560 |Loss: 0.004 | Acc: 99.932% 
201  156561 |Loss: 0.004 | Acc: 99.932% 
201  156562 |Loss: 0.004 | Acc: 99.932% 
201  156563 |Loss: 0.004 | Acc: 99.933% 
201  156564 |Loss: 0.004 | Acc: 99.933% 
201  156565 |Loss: 0.004 | Acc: 99.924% 
201  156566 |Loss: 0.004 | Acc: 99.925% 
201  156567 |Loss: 0.004 | Acc: 99.925% 
201  156568 |Loss: 0.004 | Acc: 99.926% 
201  156569 |Loss: 0.004 | Acc: 99.926% 
201  156570 |Loss: 0.004 | Acc: 99.926% 
201  156571 |Loss: 0.004 | Acc: 99.927% 
201  156572 |Loss: 0.004 | Acc: 99.927% 
201  156573 |Loss: 0.004 | Acc: 99.928% 
201  156574 |Loss: 0.004 | Acc: 99.928% 
201  156575 |Loss: 0.004 | Acc: 99.929% 
201  156576 |Loss: 0.004 | Acc: 99.929% 
201  156577 |Loss: 0.004 | Acc: 99.929% 
201  156578 |Loss: 0.004 | Acc: 99.930% 
201  156579 |Loss: 0.004 | Acc: 99.930% 
201  156580 |Loss: 0.004 | Acc: 99.931% 
201  156581 |Loss: 0.004 | Acc: 99.931% 
201  156582 |Loss: 0.004 | Acc: 99.931% 
201  156583 |Loss: 0.004 | Acc: 99.932% 
201  156584 |Loss: 0.004 | Acc: 99.932% 
201  156585 |Loss: 0.004 | Acc: 99.932% 
201  156586 |Loss: 0.004 | Acc: 99.933% 
201  156587 |Loss: 0.004 | Acc: 99.933% 
201  156588 |Loss: 0.004 | Acc: 99.934% 
201  156589 |Loss: 0.004 | Acc: 99.934% 
201  156590 |Loss: 0.004 | Acc: 99.934% 
201  156591 |Loss: 0.004 | Acc: 99.935% 
201  156592 |Loss: 0.004 | Acc: 99.935% 
201  156593 |Loss: 0.004 | Acc: 99.935% 
201  156594 |Loss: 0.004 | Acc: 99.936% 
201  156595 |Loss: 0.004 | Acc: 99.928% 
201  156596 |Loss: 0.004 | Acc: 99.928% 
201  156597 |Loss: 0.004 | Acc: 99.929% 
201  156598 |Loss: 0.004 | Acc: 99.929% 
201  156599 |Loss: 0.004 | Acc: 99.929% 
201  156600 |Loss: 0.004 | Acc: 99.930% 
201  156601 |Loss: 0.004 | Acc: 99.930% 
201  156602 |Loss: 0.004 | Acc: 99.930% 
201  156603 |Loss: 0.004 | Acc: 99.931% 
201  156604 |Loss: 0.004 | Acc: 99.931% 
201  156605 |Loss: 0.004 | Acc: 99.931% 
201  156606 |Loss: 0.004 | Acc: 99.932% 
201  156607 |Loss: 0.004 | Acc: 99.932% 
201  156608 |Loss: 0.004 | Acc: 99.932% 
201  156609 |Loss: 0.004 | Acc: 99.933% 
201  156610 |Loss: 0.004 | Acc: 99.933% 
201  156611 |Loss: 0.004 | Acc: 99.933% 
201  156612 |Loss: 0.004 | Acc: 99.934% 
201  156613 |Loss: 0.004 | Acc: 99.934% 
201  156614 |Loss: 0.004 | Acc: 99.934% 
201  156615 |Loss: 0.004 | Acc: 99.935% 
201  156616 |Loss: 0.004 | Acc: 99.935% 
201  156617 |Loss: 0.004 | Acc: 99.935% 
201  156618 |Loss: 0.004 | Acc: 99.935% 
201  156619 |Loss: 0.004 | Acc: 99.936% 
201  156620 |Loss: 0.004 | Acc: 99.936% 
201  156621 |Loss: 0.004 | Acc: 99.936% 
201  156622 |Loss: 0.004 | Acc: 99.937% 
201  156623 |Loss: 0.004 | Acc: 99.937% 
201  156624 |Loss: 0.004 | Acc: 99.937% 
201  156625 |Loss: 0.004 | Acc: 99.938% 
201  156626 |Loss: 0.004 | Acc: 99.938% 
201  156627 |Loss: 0.004 | Acc: 99.938% 
201  156628 |Loss: 0.004 | Acc: 99.938% 
201  156629 |Loss: 0.004 | Acc: 99.939% 
201  156630 |Loss: 0.004 | Acc: 99.939% 
201  156631 |Loss: 0.004 | Acc: 99.939% 
